"W1","W2","rel"
"worm","louse",2
"worm","insect",2
"louse","insect",2
"architect","designer",2
"dramatist","playwright",2
"czar","tsar",2
"czar","tzar",2
"tsar","tzar",2
"pope","pontiff",2
"astronomer","stargazer",2
"caliph","khalifah",2
"antoninus","aurelius",2
"anarchist","nihilist",2
"anarchist","syndicalist",2
"nihilist","syndicalist",2
"assassin","bravo",2
"maestro","master",2
"bolshevik","bolshevist",2
"philanthropist","altruist",2
"charlemagne","carolus",2
"charlemagne","charles",2
"carolus","charles",2
"violinist","fiddler",2
"marshal","marshall",2
"eisenhower","ike",2
"entrepreneur","enterpriser",2
"paleontologist","palaeontologist",2
"hussein","husain",2
"hierarch","prelate",2
"hierarch","primate",2
"prelate","primate",2
"jesus","christ",2
"jesus","savior",2
"jesus","redeemer",2
"christ","savior",2
"christ","redeemer",2
"savior","redeemer",2
"kennedy","jfk",2
"master","captain",2
"master","skipper",2
"leibniz","leibnitz",2
"marx","groucho",2
"marx","harpo",2
"potter","thrower",2
"zoroaster","zarathustra",2
"efflorescence","bloom",2
"impact","wallop",2
"outgrowth","branch",2
"outgrowth","offset",2
"branch","offset",2
"slipstream","race",2
"slipstream","backwash",2
"slipstream","wash",2
"race","backwash",2
"race","wash",2
"backwash","wash",2
"electricity","power",2
"motion","movement",2
"luck","chance",2
"luck","hazard",2
"fortune","chance",2
"fortune","hazard",2
"chance","hazard",2
"breeze","zephyr",2
"breeze","air",2
"zephyr","air",2
"discharge","spark",2
"erosion","wearing",2
"freeze","frost",2
"peeling","shedding",2
"precipitation","downfall",2
"gust","blast",2
"gust","blow",2
"blast","blow",2
"speed","velocity",2
"beam","ray",2
"beam","shaft",2
"beam","irradiation",2
"ray","shaft",2
"ray","irradiation",2
"shaft","irradiation",2
"moonlight","moon",2
"sunshine","sun",2
"polarization","polarisation",2
"snow","snowfall",2
"tornado","twister",2
"liverwort","hepatic",2
"shrub","bush",2
"flower","bloom",2
"flower","blossom",2
"bloom","blossom",2
"stoma","pore",2
"leaf","foliage",2
"stone","pit",2
"coil","roll",2
"coil","scroll",2
"rutabaga","swede",2
"campanula","bellflower",2
"chess","cheat",2
"tare","cheat",2
"ear","spike",2
"zucchini","courgette",2
"linden","lime",2
"briar","brier",2
"discharge","emission",2
"exudate","exudation",2
"eucalyptus","eucalypt",2
"greenbrier","brier",2
"greenbrier","briar",2
"dock","sorrel",2
"eggplant","aubergine",2
"ring","halo",2
"ring","annulus",2
"ring","doughnut",2
"halo","annulus",2
"halo","doughnut",2
"annulus","doughnut",2
"crop","harvest",2
"spine","thorn",2
"spine","sticker",2
"thorn","sticker",2
"hair","fuzz",2
"annulus","skirt",2
"pulp","flesh",2
"cutting","slip",2
"runner","offset",2
"crown","treetop",2
"rhizome","rootstock",2
"grape","grapevine",2
"spending","expenditure",2
"expenditure","outlay",2
"property","holding",2
"estate","land",2
"estate","demesne",2
"land","demesne",2
"bargain","steal",2
"grant","assignment",2
"loss","red",2
"killing","cleanup",2
"loot","pillage",2
"loot","prize",2
"loot","swag",2
"pillage","prize",2
"pillage","swag",2
"prize","swag",2
"dower","portion",2
"prize","award",2
"bounty","premium",2
"allowance","adjustment",2
"deduction","discount",2
"wage","pay",2
"wage","earnings",2
"wage","remuneration",2
"wage","salary",2
"pay","earnings",2
"pay","remuneration",2
"pay","salary",2
"earnings","remuneration",2
"earnings","salary",2
"remuneration","salary",2
"rebate","discount",2
"share","percentage",2
"portion","part",2
"portion","percentage",2
"part","percentage",2
"interest","stake",2
"damages","indemnity",2
"damages","redress",2
"indemnity","redress",2
"counterbalance","offset",2
"return","issue",2
"return","take",2
"issue","take",2
"remittance","remission",2
"price","damage",2
"fare","transportation",2
"tax","taxation",2
"duty","tariff",2
"security","certificate",2
"stake","bet",2
"stake","wager",2
"security","protection",2
"wealth","riches",2
"account","accounting",2
"principal","corpus",2
"support","living",2
"support","sustenance",2
"living","sustenance",2
"reserve","backlog",2
"reserve","stockpile",2
"backlog","stockpile",2
"tender","stamp",2
"check","cheque",2
"bread","cabbage",2
"bread","dough",2
"bread","lettuce",2
"bread","lolly",2
"bread","loot",2
"bread","scratch",2
"bread","sugar",2
"cabbage","dough",2
"cabbage","lettuce",2
"cabbage","lolly",2
"cabbage","loot",2
"cabbage","scratch",2
"cabbage","sugar",2
"dough","lettuce",2
"dough","lolly",2
"dough","loot",2
"dough","scratch",2
"dough","sugar",2
"lettuce","lolly",2
"lettuce","loot",2
"lettuce","scratch",2
"lettuce","sugar",2
"lolly","loot",2
"lolly","scratch",2
"lolly","sugar",2
"loot","scratch",2
"loot","sugar",2
"scratch","sugar",2
"sixpence","tanner",2
"penny","cent",2
"penny","centime",2
"cent","centime",2
"bill","note",2
"dollar","buck",2
"dollar","clam",2
"buck","clam",2
"indebtedness","liability",2
"increase","growth",2
"increment","growth",2
"adaptation","adjustment",2
"decay","disintegration",2
"assimilation","absorption",2
"evolution","phylogeny",2
"phase","stage",2
"development","evolution",2
"degeneration","devolution",2
"dissolution","disintegration",2
"accretion","accumulation",2
"elimination","evacuation",2
"elimination","excretion",2
"evacuation","excretion",2
"fire","flame",2
"clotting","coagulation",2
"solidification","set",2
"solidification","curing",2
"set","curing",2
"consumption","use",2
"rot","breakdown",2
"decline","diminution",2
"freeze","freezing",2
"frost","icing",2
"leak","wetting",2
"period","flow",2
"mildew","mold",2
"operation","performance",2
"refinement","purification",2
"refilling","replacement",2
"refilling","renewal",2
"replacement","renewal",2
"decay","decline",2
"shit","dump",2
"deterioration","declension",2
"survival","selection",2
"divisor","factor",2
"gallon","gal",2
"barrel","bbl",2
"gigabyte","gib",2
"gb","gib",2
"gigabyte","gb",2
"gigabit","gbit",2
"gigabit","gb",2
"gbit","gb",2
"candle","cd",2
"gilbert","gb",2
"gray","gy",2
"perch","rod",2
"perch","pole",2
"rod","pole",2
"finger","digit",2
"mile","mi",2
"shilling","bob",2
"nanogram","ng",2
"nothing","cipher",2
"nothing","cypher",2
"nothing","zero",2
"digit","figure",2
"zero","cipher",2
"zero","cypher",2
"mate","fellow",2
"two","ii",2
"ii","deuce",2
"couple","pair",2
"couple","twosome",2
"couple","brace",2
"couple","span",2
"couple","yoke",2
"couple","duet",2
"pair","twosome",2
"pair","brace",2
"pair","span",2
"pair","yoke",2
"pair","duet",2
"twosome","brace",2
"twosome","span",2
"twosome","yoke",2
"twosome","duet",2
"brace","span",2
"brace","yoke",2
"brace","duet",2
"span","yoke",2
"span","duet",2
"yoke","duet",2
"six","sixer",2
"six","sextet",2
"sixer","sextet",2
"hundred","century",2
"addition","increase",2
"addition","gain",2
"increase","gain",2
"limit","limitation",2
"region","neighborhood",2
"spot","bit",2
"hair","whisker",2
"jack","squat",2
"jack","shit",2
"squat","shit",2
"nip","shot",2
"trace","hint",2
"trace","suggestion",2
"hint","suggestion",2
"touch","hint",2
"batch","heap",2
"batch","lot",2
"batch","mass",2
"batch","mess",2
"batch","mint",2
"batch","mountain",2
"batch","pile",2
"batch","plenty",2
"batch","pot",2
"batch","raft",2
"batch","sight",2
"batch","stack",2
"heap","lot",2
"heap","mass",2
"heap","mess",2
"heap","mint",2
"heap","mountain",2
"heap","pile",2
"heap","plenty",2
"heap","pot",2
"heap","raft",2
"heap","sight",2
"heap","stack",2
"lot","mass",2
"lot","mess",2
"lot","mint",2
"lot","mountain",2
"lot","pile",2
"lot","plenty",2
"lot","pot",2
"lot","raft",2
"lot","sight",2
"lot","stack",2
"mass","mess",2
"mass","mint",2
"mass","mountain",2
"mass","pile",2
"mass","plenty",2
"mass","pot",2
"mass","raft",2
"mass","sight",2
"mass","stack",2
"mess","mint",2
"mess","mountain",2
"mess","pile",2
"mess","plenty",2
"mess","pot",2
"mess","raft",2
"mess","sight",2
"mess","stack",2
"mint","mountain",2
"mint","pile",2
"mint","plenty",2
"mint","pot",2
"mint","raft",2
"mint","sight",2
"mint","stack",2
"mountain","pile",2
"mountain","plenty",2
"mountain","pot",2
"mountain","raft",2
"mountain","sight",2
"mountain","stack",2
"pile","plenty",2
"pile","pot",2
"pile","raft",2
"pile","sight",2
"pile","stack",2
"plenty","pot",2
"plenty","raft",2
"plenty","sight",2
"plenty","stack",2
"pot","raft",2
"pot","sight",2
"pot","stack",2
"raft","sight",2
"raft","stack",2
"sight","stack",2
"ocean","sea",2
"capacity","content",2
"atmosphere","atm",2
"obligation","indebtedness",2
"footing","basis",2
"footing","ground",2
"basis","ground",2
"connexion","connectedness",2
"alliance","bond",2
"relevance","relevancy",2
"agreement","concord",2
"modification","qualifying",2
"mood","mode",2
"mood","modality",2
"mode","modality",2
"balance","rest",2
"affinity","kinship",2
"rapport","resonance",2
"kinship","relationship",2
"parentage","birth",2
"proportion","ratio",2
"percentage","percent",2
"southeast","se",2
"plane","sheet",2
"flare","flair",2
"crook","twist",2
"crook","turn",2
"kink","twist",2
"branch","leg",2
"dip","inclination",2
"bowl","trough",2
"scoop","pocket",2
"node","knob",2
"node","thickening",2
"knob","thickening",2
"balance","equilibrium",2
"equilibrium","counterbalance",2
"column","tower",2
"barrel","drum",2
"pipe","tube",2
"drop","bead",2
"drop","pearl",2
"bead","pearl",2
"threshold","verge",2
"scratch","slit",2
"scratch","dent",2
"slit","dent",2
"score","scotch",2
"wrinkle","crease",2
"wrinkle","seam",2
"wrinkle","line",2
"crease","seam",2
"crease","line",2
"seam","line",2
"crevice","cranny",2
"crevice","fissure",2
"crevice","chap",2
"cranny","crack",2
"cranny","fissure",2
"cranny","chap",2
"crack","chap",2
"fissure","chap",2
"void","vacancy",2
"void","vacuum",2
"vacancy","vacuum",2
"point","dot",2
"cast","stamp",2
"mold","stamp",2
"pouch","sac",2
"pouch","sack",2
"sac","sack",2
"sac","pocket",2
"sack","pocket",2
"tongue","knife",2
"context","circumstance",2
"context","setting",2
"circumstance","setting",2
"place","station",2
"confidence","trust",2
"company","companionship",2
"company","fellowship",2
"company","society",2
"companionship","fellowship",2
"companionship","society",2
"fellowship","society",2
"association","tie",2
"affair","liaison",2
"affair","involvement",2
"liaison","involvement",2
"picture","scene",2
"degree","stage",2
"degree","point",2
"level","stage",2
"level","point",2
"stage","point",2
"height","elevation",2
"height","peak",2
"height","pinnacle",2
"height","summit",2
"height","meridian",2
"height","top",2
"elevation","peak",2
"elevation","pinnacle",2
"elevation","summit",2
"elevation","meridian",2
"elevation","top",2
"peak","pinnacle",2
"peak","meridian",2
"pinnacle","summit",2
"pinnacle","meridian",2
"pinnacle","top",2
"summit","meridian",2
"meridian","top",2
"event","case",2
"office","power",2
"equality","equivalence",2
"equality","equation",2
"equivalence","equation",2
"championship","title",2
"dominance","control",2
"bondage","slavery",2
"animation","life",2
"animation","living",2
"need","demand",2
"lack","deficiency",2
"lack","want",2
"deficiency","want",2
"survival","endurance",2
"rest","sleep",2
"marriage","matrimony",2
"marriage","union",2
"matrimony","union",2
"employment","employ",2
"agreement","accord",2
"anarchy","lawlessness",2
"chaos","bedlam",2
"disturbance","disruption",2
"disturbance","commotion",2
"disruption","commotion",2
"convulsion","turmoil",2
"convulsion","upheaval",2
"disagreement","dissension",2
"light","lighting",2
"ecstasy","transport",2
"gratification","satisfaction",2
"happiness","felicity",2
"sadness","sorrow",2
"innocence","whiteness",2
"constraint","restraint",2
"representation","agency",2
"action","activity",2
"eruption","extravasation",2
"inaction","inactivity",2
"arrest","check",2
"arrest","hitch",2
"arrest","stay",2
"arrest","stop",2
"check","hitch",2
"check","stay",2
"check","stop",2
"hitch","stay",2
"hitch","stop",2
"stay","stop",2
"anesthesia","anaesthesia",2
"readiness","preparation",2
"pass","strait",2
"excitement","inflammation",2
"heat","rut",2
"rage","passion",2
"dysfunction","disfunction",2
"pregnancy","gestation",2
"parity","para",2
"energy","vitality",2
"dilatation","distension",2
"addiction","dependence",2
"sensitivity","predisposition",2
"inflammation","redness",2
"touch","spot",2
"disturbance","folie",2
"injury","hurt",2
"injury","harm",2
"injury","trauma",2
"hurt","harm",2
"hurt","trauma",2
"harm","trauma",2
"paralysis","palsy",2
"craze","delirium",2
"craze","fury",2
"craze","hysteria",2
"delirium","fury",2
"delirium","hysteria",2
"fury","hysteria",2
"sclerosis","induration",2
"atrophy","wasting",2
"stenosis","stricture",2
"edema","dropsy",2
"tumor","tumour",2
"tumor","neoplasm",2
"tumour","neoplasm",2
"vd","dose",2
"vd","std",2
"dose","std",2
"plague","pestilence",2
"plague","pest",2
"pestilence","pest",2
"nausea","sickness",2
"deformity","malformation",2
"leukemia","leukaemia",2
"rabies","hydrophobia",2
"rabies","madness",2
"hydrophobia","madness",2
"wound","lesion",2
"abrasion","scratch",2
"abrasion","scrape",2
"scratch","scrape",2
"cut","slash",2
"cut","slice",2
"slash","slice",2
"bruise","contusion",2
"shiner","mouse",2
"sunburn","burn",2
"fracture","break",2
"wrench","twist",2
"wrench","pull",2
"twist","pull",2
"rash","efflorescence",2
"agony","suffering",2
"burn","burning",2
"torture","torment",2
"pimple","zit",2
"laminitis","founder",2
"spasm","cramp",2
"kink","rick",2
"tension","tenseness",2
"tension","stress",2
"tenseness","stress",2
"dissociation","disassociation",2
"disturbance","upset",2
"fret","stew",2
"fret","sweat",2
"fret","lather",2
"stew","sweat",2
"stew","lather",2
"sweat","lather",2
"fuss","flap",2
"tantrum","scene",2
"spell","trance",2
"corner","box",2
"fix","hole",2
"fix","mess",2
"fix","pickle",2
"hole","mess",2
"hole","pickle",2
"mess","pickle",2
"problem","job",2
"recognition","acknowledgment",2
"recognition","acknowledgement",2
"acknowledgment","acknowledgement",2
"apostasy","renunciation",2
"apostasy","defection",2
"renunciation","defection",2
"alliance","confederation",2
"connection","link",2
"connection","connectedness",2
"link","connectedness",2
"interconnection","interconnectedness",2
"decline","declination",2
"neglect","disuse",2
"banishment","ostracism",2
"grade","level",2
"grade","tier",2
"level","tier",2
"stress","focus",2
"distinction","note",2
"oblivion","limbo",2
"honor","honour",2
"glory","glorification",2
"fame","celebrity",2
"esteem","regard",2
"esteem","respect",2
"repute","reputation",2
"shame","disgrace",2
"dominion","rule",2
"scepter","sceptre",2
"bane","curse",2
"bane","scourge",2
"bane","nemesis",2
"curse","scourge",2
"curse","nemesis",2
"scourge","nemesis",2
"relief","ease",2
"fortune","destiny",2
"fortune","fate",2
"fortune","luck",2
"fortune","lot",2
"fortune","portion",2
"destiny","luck",2
"destiny","lot",2
"destiny","portion",2
"fate","luck",2
"fate","lot",2
"fate","portion",2
"luck","lot",2
"luck","portion",2
"lot","portion",2
"adversity","hardship",2
"press","pressure",2
"repletion","satiety",2
"excess","overabundance",2
"polish","refinement",2
"polish","culture",2
"polish","cultivation",2
"polish","finish",2
"refinement","culture",2
"refinement","cultivation",2
"refinement","finish",2
"culture","cultivation",2
"culture","finish",2
"cultivation","finish",2
"integrity","wholeness",2
"insufficiency","inadequacy",2
"defect","fault",2
"crudeness","primitivism",2
"crudeness","rudeness",2
"primitivism","rudeness",2
"catastrophe","disaster",2
"solid","solidness",2
"prospect","chance",2
"hearing","audience",2
"shot","crack",2
"ease","comfort",2
"privation","want",2
"filth","foulness",2
"dirt","filth",2
"dirt","grime",2
"dirt","stain",2
"dirt","grease",2
"filth","grime",2
"filth","soil",2
"filth","stain",2
"filth","grease",2
"grime","soil",2
"grime","stain",2
"grime","grease",2
"soil","stain",2
"soil","grease",2
"stain","grease",2
"clutter","jumble",2
"setting","background",2
"setting","scope",2
"background","scope",2
"sphere","domain",2
"sphere","area",2
"sphere","orbit",2
"sphere","field",2
"sphere","arena",2
"domain","area",2
"domain","orbit",2
"domain","field",2
"domain","arena",2
"area","orbit",2
"area","field",2
"area","arena",2
"orbit","field",2
"orbit","arena",2
"field","arena",2
"kingdom","land",2
"province","responsibility",2
"lull","quiet",2
"climate","mood",2
"spirit","tone",2
"spirit","feel",2
"spirit","feeling",2
"spirit","flavor",2
"spirit","smell",2
"tone","feel",2
"tone","feeling",2
"tone","flavor",2
"tone","smell",2
"feel","feeling",2
"feel","flavor",2
"feel","smell",2
"feeling","flavor",2
"feeling","smell",2
"flavor","smell",2
"capability","capacity",2
"immunity","resistance",2
"protection","shelter",2
"indemnity","insurance",2
"hazard","jeopardy",2
"hazard","risk",2
"jeopardy","risk",2
"condition","shape",2
"myopia","shortsightedness",2
"deterioration","impairment",2
"devastation","desolation",2
"end","destruction",2
"end","death",2
"destruction","death",2
"wickedness","darkness",2
"light","illumination",2
"phase","form",2
"lucite","perspex",2
"group","radical",2
"catalyst","accelerator",2
"chlorofluorocarbon","cfc",2
"wetter","surfactant",2
"dye","dyestuff",2
"nucleotide","base",2
"chlorine","cl",2
"gadolinium","gd",2
"palladium","pd",2
"rhodium","rh",2
"tellurium","te",2
"gem","gemstone",2
"gem","stone",2
"gemstone","stone",2
"gasoline","gas",2
"glue","gum",2
"glue","mucilage",2
"gum","mucilage",2
"base","alkali",2
"iron","fe",2
"cyclooxygenase","cox",2
"ivory","tusk",2
"fur","pelt",2
"sulfate","sulphate",2
"bleach","whitener",2
"mud","clay",2
"soot","smut",2
"husk","stalk",2
"husk","straw",2
"stalk","straw",2
"dirt","shit",2
"vomit","puke",2
"filth","crud",2
"filth","skank",2
"crud","skank",2
"rubbish","trash",2
"rubbish","scrap",2
"trash","scrap",2
"dust","junk",2
"quartz","crystal",2
"lead","pb",2
"benzoin","benjamin",2
"pitch","tar",2
"tuff","tufa",2
"pad","tablet",2
"slop","mire",2
"slime","goo",2
"slime","muck",2
"goo","muck",2
"petroleum","oil",2
"rain","rainwater",2
"sard","sardine",2
"immunoglobulin","ig",2
"shingle","shake",2
"soman","gd",2
"calcium","ca",2
"reading","indication",2
"vacation","holiday",2
"beginning","first",2
"beginning","offset",2
"commencement","first",2
"commencement","offset",2
"first","start",2
"first","offset",2
"start","offset",2
"death","last",2
"age","eld",2
"sunday","sun",2
"noon","midday",2
"day","daytime",2
"evening","eve",2
"dawn","morning",2
"dawn","aurora",2
"dawn","sunrise",2
"morning","aurora",2
"morning","sunrise",2
"aurora","sunrise",2
"twilight","dusk",2
"twilight","fall",2
"dusk","fall",2
"doomsday","doomsday",2
"distance","space",2
"march","mar",2
"nisan","nissan",2
"sentence","time",2
"fall","autumn",2
"winter","wintertime",2
"monday","mon",2
"eternity","infinity",2
"piece","spell",2
"piece","patch",2
"spell","patch",2
"moment","minute",2
"moment","second",2
"moment","bit",2
"minute","second",2
"minute","bit",2
"second","bit",2
"flash","heartbeat",2
"flash","instant",2
"flash","wink",2
"heartbeat","instant",2
"heartbeat","wink",2
"instant","wink",2
"turn","bout",2
"turn","round",2
"bout","round",2
"finish","last",2
"finish","conclusion",2
"last","conclusion",2
"termination","expiry",2
"pause","break",2
"pause","interruption",2
"pause","suspension",2
"break","suspension",2
"interruption","suspension",2
"delay","hold",2
"sleep","nap",2
"rest","relief",2
"cycle","rhythm",2
"cycle","round",2
"rhythm","round",2
"spell","tour",2
"spell","turn",2
"tour","turn",2
"hitch","tour",2
"flower","peak",2
"flower","heyday",2
"flower","efflorescence",2
"peak","heyday",2
"peak","bloom",2
"peak","blossom",2
"peak","efflorescence",2
"heyday","bloom",2
"heyday","blossom",2
"heyday","efflorescence",2
"blossom","efflorescence",2
"breach","break",2
"breach","severance",2
"breach","rift",2
"break","severance",2
"break","rift",2
"severance","rift",2
"being","wrack",1
"whole","teton",1
"someone","friend",1
"unit","hopi",1
"doctor","turner",1
"somebody","pcp",1
"deed","bowl",1
"handle","knob",1
"organism","wildcat",1
"solid","cherry",1
"cause","revolutionary",1
"group","workforce",1
"object","radio",1
"shape","pouch",1
"way","siphon",1
"cause","mason",1
"instrumentality","jigsaw",1
"creation","master",1
"stuff","litter",1
"object","stuff",1
"mar","scrape",1
"instrumentation","destroyer",1
"aircraft","plane",1
"division","fibrillation",1
"instrumentality","hanger",1
"someone","lutist",1
"cause","mescal",1
"abstraction","plate",1
"writer","essayist",1
"content","section",1
"tongue","afghan",1
"fabric","mackinaw",1
"conveyance","trawler",1
"cut","round",1
"instrument","dart",1
"officer","quartermaster",1
"transducer","bug",1
"covering","pinafore",1
"period","picnic",1
"person","cockcroft",1
"group","procession",1
"somebody","partizan",1
"attribute","drama",1
"mongol","tatar",1
"attribute","color",1
"delicacy","centre",1
"ballplayer","slugger",1
"occurrence","pulsation",1
"object","frontage",1
"evaluator","reviewer",1
"act","limitation",1
"unit","screen",1
"being","herdsman",1
"ornamentation","ice",1
"housing","residence",1
"foodstuff","yogurt",1
"entity","liking",1
"soul","pacha",1
"instrumentation","atlas",1
"specialist","reich",1
"pcp","wernicke",1
"pattern","fashion",1
"disease","keratosis",1
"motility","clip",1
"object","spool",1
"expert","counselor",1
"creation","vignette",1
"foodstuff","bun",1
"discipline","dance",1
"territory","slum",1
"opening","bill",1
"relation","bargain",1
"blow","roundhouse",1
"organism","star",1
"advance","renaissance",1
"nutrient","gravy",1
"concept","excellence",1
"enforcement","terrorism",1
"quality","precision",1
"opponent","enemy",1
"dominance","superiority",1
"speech","recital",1
"placental","mule",1
"unit","armor",1
"artefact","oboe",1
"part","mortgage",1
"program","moneymaker",1
"artefact","armrest",1
"whole","tube",1
"cost","depreciation",1
"object","hose",1
"possession","advance",1
"fauna","queen",1
"unit","walrus",1
"diversion","roll",1
"vegetable","pepper",1
"counterbalance","tare",1
"act","ritual",1
"whole","wick",1
"whole","emperor",1
"change","retraction",1
"location","commons",1
"shop","pottery",1
"object","accommodation",1
"carnivore","griffon",1
"wisdom","frugality",1
"instrumentation","accordion",1
"vertebrate","rail",1
"substance","confidence",1
"enlargement","spread",1
"mortal","flop",1
"objection","manifestation",1
"portion","affliction",1
"fauna","arachnid",1
"whole","panel",1
"amount","yoke",1
"attribute","cut",1
"covering","film",1
"vertebrate","tumbler",1
"organism","baruch",1
"cause","abbess",1
"measure","heap",1
"amount","week",1
"knowledge","cramp",1
"misfortune","injury",1
"artefact","juicer",1
"area","john",1
"entity","junket",1
"sadness","misery",1
"quality","aura",1
"entity","ruthenium",1
"serviceman","soldier",1
"creature","worm",1
"papers","resolution",1
"entity","pick",1
"document","bidding",1
"amount","eagle",1
"entity","dust",1
"cause","creole",1
"flow","slipstream",1
"aliment","kiss",1
"matter","limestone",1
"dishonesty","deceit",1
"wave","roll",1
"piece","frill",1
"mortal","kelt",1
"lawman","matron",1
"itinerary","way",1
"relation","pb",1
"dominion","tokio",1
"signal","mention",1
"instrumentality","decoder",1
"realisation","soul",1
"entity","rossetti",1
"instrumentality","curtain",1
"compound","ig",1
"ground","slash",1
"ending","expiry",1
"prevision","necromancy",1
"group","grove",1
"content","crux",1
"centre","cairo",1
"missive","billet",1
"artifact","loop",1
"deed","emission",1
"individual","zulu",1
"section","track",1
"work","baby",1
"unit","bultmann",1
"wrongdoing","haughtiness",1
"someone","canon",1
"town","boulder",1
"soul","escapist",1
"code","opera",1
"bad","defect",1
"entity","proxy",1
"content","understanding",1
"object","hemisphere",1
"whole","wagtail",1
"cause","tincture",1
"event","dawn",1
"approval","authorisation",1
"shape","rift",1
"deed","provision",1
"stuff","acceptor",1
"entity","bar",1
"individual","murdoch",1
"individual","malay",1
"entity","willow",1
"somebody","emperor",1
"communicator","author",1
"abstraction","past",1
"fauna","snail",1
"organism","abaca",1
"mortal","day",1
"scholar","hartley",1
"communicator","lovelace",1
"cause","appropriator",1
"exudate","lacquer",1
"someone","cleric",1
"someone","nestling",1
"substance","grasshopper",1
"appearance","simplicity",1
"organism","seductress",1
"intoxicant","tequila",1
"somebody","kingmaker",1
"instrumentation","fin",1
"ideology","communism",1
"artefact","motorboat",1
"matter","acrylic",1
"line","tendency",1
"toiletry","potpourri",1
"commodity","linen",1
"individual","prey",1
"object","bull",1
"attribute","pass",1
"soul","donor",1
"unit","senior",1
"inception","factor",1
"md","gynecologist",1
"database","stack",1
"motion","skydiving",1
"entity","lacquer",1
"mass","body",1
"creature","spitz",1
"nourishment","lunch",1
"unit","buber",1
"entity","inclination",1
"entity","breadstick",1
"pain","wound",1
"looter","corsair",1
"sign","crab",1
"filling","flood",1
"general","clay",1
"location","balance",1
"clothing","change",1
"pcp","orthodontist",1
"structure","mint",1
"movement","flap",1
"object","snow",1
"substance","stub",1
"conduit","stack",1
"timber","cleat",1
"somebody","generator",1
"carbohydrate","galactose",1
"entity","campfire",1
"worker","splicer",1
"entity","brazil",1
"relation","grit",1
"someone","miler",1
"entity","kingdom",1
"object","dragon",1
"thread","lisle",1
"relation","rosin",1
"covering","foliation",1
"entity","plimsoll",1
"commodity","wash",1
"deed","sleeper",1
"metropolis","memphis",1
"aliment","omelet",1
"somebody","muralist",1
"change","limp",1
"whole","norma",1
"artifact","miller",1
"reptile","crocodile",1
"event","slugfest",1
"adult","rn",1
"connexion","articulation",1
"recreation","celebration",1
"unit","ninja",1
"entity","frill",1
"cause","prior",1
"entity","misconception",1
"individual","criminologist",1
"function","inauguration",1
"solid","duck",1
"person","toxicologist",1
"agency","navy",1
"habitation","manse",1
"concept","title",1
"status","indecision",1
"entity","signification",1
"abstraction","modality",1
"expert","champion",1
"watcher","scout",1
"food","condiment",1
"tongue","greek",1
"object","saxophone",1
"outlaw","coyote",1
"mortal","haggai",1
"being","liberal",1
"entity","title",1
"attribute","throw",1
"mold","form",1
"angel","raphael",1
"participant","bidder",1
"somebody","cosmetologist",1
"unit","angelfish",1
"unit","tai",1
"entity","wardrobe",1
"component","paraffin",1
"solid","paste",1
"abstraction","dealer",1
"prediction","divination",1
"condition","distress",1
"abstraction","alto",1
"object","casket",1
"entity","thymine",1
"group","orchestra",1
"worker","fireball",1
"integer","modulus",1
"whole","cashier",1
"communicating","hypermedia",1
"substance","notation",1
"organism","giraffe",1
"artifact","shelf",1
"whole","birdbath",1
"product","reissue",1
"state","conjunction",1
"representative","lincoln",1
"commodity","suspender",1
"somebody","toynbee",1
"entity","trig",1
"lodging","cloister",1
"worth","value",1
"cognition","awareness",1
"programme","opera",1
"good","beachwear",1
"soul","observer",1
"position","seventh",1
"artist","cartoonist",1
"whole","acorn",1
"setting","canvass",1
"tool","file",1
"speech","reading",1
"quantity","term",1
"operation","memory",1
"event","line",1
"harmony","unison",1
"morpheme","affix",1
"status","corruption",1
"artefact","lingerie",1
"matter","grass",1
"entity","antifreeze",1
"cognition","ear",1
"machine","willow",1
"descent","flop",1
"cause","brute",1
"entity","sheet",1
"event","fishing",1
"piece","bar",1
"whole","conjurer",1
"unit","seagull",1
"person","printmaker",1
"conception","round",1
"information","callus",1
"entity","fermion",1
"person","ideal",1
"event","turning",1
"entity","deputy",1
"deed","attainment",1
"object","base",1
"communication","requiem",1
"property","dazzle",1
"being","lovelace",1
"secretion","musk",1
"soul","hiker",1
"whole","draft",1
"entity","goliath",1
"somebody","hawk",1
"component","tissue",1
"device","record",1
"plant","coneflower",1
"occurrence","remission",1
"object","treasury",1
"ism","precept",1
"beginner","learner",1
"conflict","fistfight",1
"papers","confession",1
"help","subordinate",1
"weapon","spandau",1
"instrumentality","bucket",1
"deed","sailing",1
"entity","xenotransplantation",1
"artefact","rest",1
"piece","notochord",1
"entity","cicerone",1
"artefact","necktie",1
"portion","linen",1
"status","reformation",1
"caretaker","concierge",1
"unit","mafioso",1
"mortal","son",1
"person","reporter",1
"entity","moulding",1
"artefact","equilibrium",1
"entity","cemetery",1
"entity","herd",1
"implementation","road",1
"hypothesis","simulation",1
"mortal","baby",1
"entity","fascicle",1
"unit","plumber",1
"helper","stewardess",1
"eye","charlottetown",1
"object","racetrack",1
"person","trickster",1
"event","alliance",1
"person","american",1
"writing","rhyme",1
"female","hooker",1
"organism","chesterton",1
"abstraction","mucilage",1
"unit","map",1
"student","whitehead",1
"section","rider",1
"veg","carrot",1
"owner","squire",1
"brute","hound",1
"relation","adverb",1
"unit","skinhead",1
"entity","mildew",1
"value","significance",1
"act","vindication",1
"attribute","extravasation",1
"link","bridge",1
